0,1,2,3,4
35.0,90.0,33.72,23.9,6.0
34.0,90.0,33.72,23.9,6.0
34.0,91.0,33.72,23.9,8.0
39.0,90.0,33.72,23.9,8.0
40.0,90.0,33.72,23.9,8.0
36.0,90.0,33.72,23.91,8.0
35.0,90.0,33.72,23.91,8.0
37.0,90.0,33.72,23.91,8.0
32.0,89.0,33.72,23.91,3.0
32.0,88.0,33.72,23.91,3.0
30.0,87.0,33.72,23.91,3.0
30.0,88.0,33.72,23.91,3.0
29.0,87.0,33.72,23.91,3.0
30.0,87.0,33.72,23.91,3.0
30.0,87.0,33.72,23.91,3.0
31.0,87.0,33.72,23.91,3.0
31.0,88.0,33.72,23.91,3.0
32.0,86.0,33.72,23.91,3.0
30.0,86.0,33.72,23.91,3.0
26.0,85.0,33.72,23.91,3.0
26.0,85.0,33.72,23.91,3.0
26.0,85.0,33.72,23.91,3.0
25.0,85.0,33.72,23.91,3.0
26.0,85.0,33.72,23.91,3.0
25.0,84.0,33.72,23.91,3.0
25.0,85.0,33.72,23.91,3.0
24.0,85.0,33.72,23.91,3.0
24.0,83.0,33.72,23.91,3.0
25.0,84.0,33.72,23.91,3.0
24.0,84.0,33.72,23.91,3.0
23.0,83.0,33.72,23.91,3.0
24.0,82.0,33.72,23.91,3.0
24.0,83.0,33.72,23.91,3.0
22.0,82.0,33.72,23.91,3.0
21.0,81.0,33.72,23.91,3.0
20.0,81.0,33.72,23.91,3.0
20.0,81.0,33.72,23.91,3.0
18.0,82.0,33.72,23.91,3.0
18.0,81.0,33.72,23.91,1.0
26.0,82.0,33.72,23.91,1.0
29.0,82.0,33.72,23.91,1.0
30.0,82.0,33.72,23.91,1.0
30.0,82.0,33.72,23.91,1.0
28.0,81.0,33.72,23.91,1.0
27.0,81.0,33.72,23.91,2.0
21.0,81.0,33.72,23.91,2.0
21.0,81.0,33.72,23.91,2.0
18.0,81.0,33.72,23.91,2.0
19.0,81.0,33.72,23.91,2.0
20.0,81.0,33.72,23.91,2.0
19.0,81.0,33.72,23.91,1.0
18.0,82.0,33.72,23.91,1.0
16.0,82.0,33.72,23.91,1.0
17.0,82.0,33.72,23.91,1.0
19.0,82.0,33.72,23.91,1.0
18.0,82.0,33.72,23.91,1.0
18.0,82.0,33.72,23.91,1.0
20.0,82.0,33.72,23.91,1.0
21.0,83.0,33.73,23.91,1.0
23.0,83.0,33.73,23.91,1.0
23.0,83.0,33.73,23.91,1.0
23.0,83.0,33.73,23.91,1.0
23.0,84.0,33.73,23.91,2.0
25.0,84.0,33.73,23.91,2.0
25.0,83.0,33.73,23.91,2.0
26.0,84.0,33.73,23.91,2.0
40.0,84.0,33.73,23.91,2.0
29.0,84.0,33.73,23.91,2.0
26.0,84.0,33.73,23.91,4.0
26.0,84.0,33.73,23.91,4.0
32.0,84.0,33.73,23.91,4.0
34.0,85.0,33.73,23.91,4.0
36.0,85.0,33.73,23.91,4.0
33.0,85.0,33.73,23.91,4.0
32.0,86.0,33.73,23.91,2.0
29.0,85.0,33.73,23.91,2.0
27.0,85.0,33.73,23.91,2.0
27.0,85.0,33.73,23.91,2.0
31.0,85.0,33.73,23.91,2.0
27.0,85.0,33.73,23.91,2.0
30.0,85.0,33.73,23.91,1.0
28.0,85.0,33.73,23.91,1.0
27.0,85.0,33.73,23.91,1.0
27.0,85.0,33.73,23.91,1.0
31.0,86.0,33.73,23.91,1.0
32.0,86.0,33.73,23.91,1.0
38.0,86.0,33.73,23.91,3.0
48.0,87.0,33.73,23.91,3.0
49.0,87.0,33.73,23.91,3.0
48.0,88.0,33.73,23.91,3.0
51.0,88.0,33.73,23.91,3.0
43.0,88.0,33.73,23.91,3.0
44.0,88.0,33.73,23.91,3.0
42.0,88.0,33.73,23.91,3.0
39.0,88.0,33.73,23.91,3.0
32.0,89.0,33.73,23.91,3.0
33.0,89.0,33.73,23.91,3.0
33.0,89.0,33.73,23.91,3.0
30.0,88.0,33.73,23.91,4.0
34.0,88.0,33.73,23.91,4.0
34.0,89.0,33.73,23.91,4.0
35.0,88.0,33.73,23.91,4.0
34.0,89.0,33.73,23.91,4.0
32.0,89.0,33.73,23.91,4.0
35.0,89.0,33.73,23.91,4.0
32.0,88.0,33.73,23.91,4.0
30.0,87.0,33.73,23.91,4.0
28.0,87.0,33.73,23.91,4.0
31.0,88.0,33.73,23.91,4.0
32.0,88.0,33.73,23.91,4.0
30.0,87.0,33.73,23.91,4.0
31.0,87.0,33.73,23.91,4.0
31.0,87.0,33.73,23.91,4.0
30.0,88.0,33.74,23.92,2.0
26.0,86.0,33.74,23.92,2.0
24.0,86.0,33.74,23.92,2.0
25.0,86.0,33.74,23.92,2.0
24.0,86.0,33.74,23.92,2.0
22.0,85.0,33.74,23.92,2.0
24.0,85.0,33.74,23.92,2.0
24.0,85.0,33.74,23.92,2.0
23.0,86.0,33.74,23.92,2.0
23.0,86.0,33.74,23.92,2.0
22.0,86.0,33.74,23.92,2.0
22.0,85.0,33.74,23.92,1.0
23.0,85.0,33.74,23.92,1.0
21.0,84.0,33.74,23.92,1.0
20.0,84.0,33.74,23.92,1.0
22.0,84.0,33.74,23.92,1.0
23.0,84.0,33.74,23.92,1.0
21.0,83.0,33.74,23.92,1.0
23.0,84.0,33.74,23.92,1.0
22.0,84.0,33.74,23.92,1.0
23.0,85.0,33.74,23.92,1.0
23.0,85.0,33.74,23.92,1.0
24.0,85.0,33.74,23.92,1.0
26.0,84.0,33.74,23.92,1.0
27.0,84.0,33.74,23.92,1.0
27.0,84.0,33.74,23.92,1.0
26.0,84.0,33.74,23.92,1.0
26.0,84.0,33.74,23.92,1.0
26.0,84.0,33.74,23.92,1.0
27.0,84.0,33.74,23.92,2.0
26.0,84.0,33.74,23.92,2.0
27.0,84.0,33.74,23.92,2.0
26.0,85.0,33.74,23.92,2.0
25.0,85.0,33.74,23.92,2.0
25.0,85.0,33.74,23.92,2.0
25.0,85.0,33.74,23.92,6.0
27.0,85.0,33.74,23.92,6.0
23.0,85.0,33.74,23.92,6.0
29.0,86.0,33.74,23.92,6.0
32.0,86.0,33.74,23.92,6.0
28.0,86.0,33.74,23.92,2.0
27.0,86.0,33.74,23.92,2.0
28.0,86.0,33.74,23.92,2.0
27.0,85.0,33.74,23.92,2.0
27.0,85.0,33.74,23.92,2.0
26.0,85.0,33.74,23.92,2.0
26.0,85.0,33.74,23.92,1.0
